brand,name,desc,category,servingSize,servingSizeUnit,calories,fat,carbs,protein,Calories_100g,Total_Fat_100g,Carbohydrates_100g,Protein_100g
Pizza Hut,"1 Old Fashioned Breadstick, Local Specialty, Large","1 Old Fashioned Breadstick, Local Specialty, Sides, Large",Baked Goods,,,200,6,27,9,,,,
IHOP,1 Poached Egg,"1 Poached Egg, Made Just for You 55+, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings; Choice in: 55+ Breakfast Sampler, 55+ Rooty & 55+ Smokehouse Combo",AppetizersSides,,,130,8,1,11,,,,
Chili's,1 Pork Carnitas Taco,"1 Pork Carnitas Taco w/ Jack Cheese, Chimichurri Sauce, Pico de Gallo, Avocado, Cilantro, Queso Fresco & Flour Tortilla w/out Sides, Tacos & Quesadillas, Top Shelf Tacos; Choice of Adding: 2 Sides",Sandwiches,,,330,19,16,23,,,,
Chili's,1 Prime Rib Taco,"1 Prime Rib Taco w/ Jack Cheese, Chimichurri Sauce, Pico de Gallo, Avocado, Cilantro, Queso Fresco & Flour Tortilla w/out Sides, Tacos & Quesadillas, Top Shelf Tacos; Choice of Adding: 2 Sides",Sandwiches,,,260,15,16,15,,,,
Chili's,1 Ranchero Chicken Taco,"1 Ranchero Chicken Taco w/ Jack Cheese, Chimichurri Sauce, Pico de Gallo, Avocado, Cilantro, Queso Fresco & Flour Tortilla w/out Sides, Tacos & Quesadillas, Top Shelf Tacos; Choice of Adding: 2 Sides",Sandwiches,,,270,14,18,19,,,,
Perkins,1 Sausage Patty,"1 Sausage Patty, Hearty Extras, Breakfast Menu",AppetizersSides,46,g,210,21,1,6,457,46,2,13
IHOP,1 Scrambled Egg,"1 Scrambled Egg, Made Just for You 55+, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings; Choice in: 55+ Breakfast Sampler, 55+ Rooty & 55+ Smokehouse Combo",AppetizersSides,,,220,17,2,15,,,,
Bob Evans,1 Scrambled Eggs,"1 Scrambled Eggs, Any Way You Want Em Eggs, Breakfast, Farm Fresh Eggs",AppetizersSides,,,240,17,2,19,,,,
Sbarro,"1 Slice, NY Cheese Pizza","1 Slice, NY Cheese Pizza w/ 100% Whole Milk Mozzarella, Made From Scratch Dough & Premium Tomato Sauce, XL NY Pizza, Slice & Whole",Pizza,201,g,430,15,51,21,214,7,25,10
Sbarro,"1 Slice, NY Fresh Tomato & Spinach Pizza","1 Slice, NY Fresh Tomato & Spinach Pizza, XL NY Pizza, Slice & Whole",Pizza,,,370,15,42,18,,,,
Sbarro,"1 Slice, NY Ham & Pineapple Pizza","1 Slice, NY Ham & Pineapple Pizza, XL NY Pizza, Slice & Whole",Pizza,,,490,16,60,25,,,,
Sbarro,"1 Slice, NY Meat Primo Delight Pizza","1 Slice, NY Meat Primo Delight Pizza, XL NY Pizza, Slice & Whole",Pizza,,,600,28,53,32,,,,
Sbarro,"1 Slice, NY Mushroom Pizza","1 Slice, NY Mushroom Pizza w/ Real Mushrooms, 100% Whole Milk Mozzarella & Premium Tomato Sauce, XL NY Pizza, Slice & Whole",Pizza,,,360,14,43,16,,,,
Sbarro,"1 Slice, NY Pepperoni Pizza","1 Slice, NY Pepperoni Pizza w/ Zesty Pepperoni, 100% Whole Milk Mozzarella & Made From Scratch Dough, XL NY Pizza, Slice & Whole",Pizza,,,480,,,20,,,,
Sbarro,"1 Slice, NY Sausage Pizza","1 Slice, NY Sausage Pizza, XL NY Pizza, Slice & Whole",Pizza,232,g,520,24,50,25,224,10,22,11
Sbarro,"1 Slice, NY Supreme Pizza","1 Slice, NY Supreme Pizza w/ Zesty Pepperoni, Seasoned Italian Sausage & Mixed Veggies, XL NY Pizza, Slice & Whole",Pizza,,,480,,,22,,,,
Sbarro,"1 Slice, NY White Pizza","1 Slice, NY White Pizza, XL NY Pizza, Slice & Whole",Pizza,203,g,480,21,50,22,236,10,25,11
